Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Director,Production Budgets,Success,actor1,actor2,actor3,genre1,genre2,rating,sentiment,YearMonth,남자 인구수,여자 인구수,총인구수,가계지출,소비지출,비소비지출,ViewCount,LikeCount,Actor1,Actor2,Actor3,Month,GENRE1,GENRE2
서울의 봄,2023-11-22,127926589712,0.051,127926589712,13128020,13128020,2463,374531,한국,한국,(주)하이브미디어코프,플러스 엔터테인먼트,12세이상관람가,김성수,233.0,1.0,황정민,윤호림,이미라,드라마,,4.07,82.06,2023.11,25572695.0,25764381.0,51337076.0,2183.0,1895.0,288.0,3322023.0,18708.0,7424560.0,6676369.0,7593444.5,11,0.12,
범죄도시2,2022-05-18,129317928648,0.052,131298796478,12510481,12693415,2521,353993,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트","주식회사 에이비오엔터테인먼트,플러스 엔터테인먼트",15세이상관람가,이상용,130.0,1.0,마동석,손석구,최귀화,범죄,액션,3.89,77.67,2022.05,25715591.0,25868131.0,51583722.0,1804.0,1512.0,292.0,3910955.0,23841.0,7994955.7,6832765.5,12693415.0,5,0.17,0.13
파묘,2024-02-22,115063079635,0.046,115063079635,11904253,11904253,2367,363781,한국,한국,(주)쇼박스,(주)쇼박스,15세이상관람가,장재현,140.0,1.0,최민식,김고은,유해진,미스터리,공포(호러),3.89,52.67,2024.02,25553189.0,25750499.0,51303688.0,,,,3107834.0,11026.0,11904253.0,7589735.5,4794673.6,2,0.3,0.17
아바타: 물의 길,2022-12-14,137647702899,0.055,137647702899,10805065,10805065,2809,283037,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,제임스 카메,3250.0,1.0,조 샐다나,샘 워싱턴,시고니 위버,액션,어드벤처,3.92,56.42,2022.12,25636951.0,25802087.0,51439038.0,2169.0,1802.0,367.0,2385290.0,12620.0,5081675.7,5517888.5,5517888.5,12,0.06,0.19
범죄도시3,2023-05-31,104687737771,0.042,104687737771,10682813,10682813,2582,311915,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트","주식회사 에이비오엔터테인먼트,플러스 엔터테인먼트",15세이상관람가,이상용,135.0,1.0,정호진,마동석,황순명,범죄,액션,3.58,57.46,2023.05,25612361.0,25788160.0,51400521.0,1979.0,1718.0,261.0,1995731.0,5738.0,10682813.0,7994955.7,10682813.0,5,0.17,0.13
범죄도시4,2024-04-24,97788039662,0.039,97788039662,10240940,10240940,2980,293601,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트","주식회사 에이비오엔터테인먼트,플러스 엔터테인먼트",15세이상관람가,허명행,140.0,1.0,김무열,박지환,이동휘,액션,범죄,3.84,60.94,2024.04,25541855.0,25743298.0,51285153.0,,,,1395312.0,7124.0,3965731.3,10240940.0,10240940.0,4,0.08,0.08
탑건: 매버릭,2022-06-22,88367558594,0.036,88367558594,8230591,8230591,1975,252939,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,조셉 코신스키,2210.0,1.0,톰 크루즈,마일즈 텔러,제니퍼 코넬리,액션,,4.38,77.94,2022.06,25711784.0,25866394.0,51578178.0,1768.0,1468.0,300.0,885103.0,6075.0,6126441.0,8230591.0,8230591.0,6,0.15,
한산: 용의 출현,2022-07-27,73711802377,0.03,73711802377,7266340,7266340,2223,217777,한국,한국,(주)빅스톤픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,김한민,312.0,1.0,박해일,이지영,김시국,액션,드라마,3.57,74.23,2022.07,25708650.0,25865796.0,51574446.0,1801.0,1504.0,297.0,1725513.0,8307.0,4585243.5,7266340.0,7266340.0,7,0.1,0.05
엘리멘탈,2023-06-14,71138423066,0.0289999999999999,71138423066,7240210,7240210,1664,247356,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,피터 손,2600.0,1.0,,,,애니메이션,,3.95,79.27,2023.06,25607244.0,25785501.0,51392745.0,1788.0,1532.0,256.0,2327331.0,25545.0,,,,6,0.1,
공조2 : 인터내셔널,2022-09-07,70918411586,0.0279999999999999,70918411586,6983077,6983077,2389,275817,한국,한국,"(주)제이케이필름,(주)씨제이이엔",(주)씨제이이엔,15세이상관람가,이석훈,155.0,1.0,현빈,유해진,임윤아,액션,코미디,3.35,64.0,2022.09,25653998.0,25812660.0,51466658.0,2097.0,1696.0,401.0,1099569.0,1647.0,4352088.5,4794673.6,6983077.0,9,0.08,0.27
밀수,2023-07-26,49685303003,0.02,49685303003,5143261,5143261,1932,167670,한국,한국,(주)외유내강,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,류승완,175.0,1.0,김혜수,염정아,조인성,액션,,3.47,69.62,2023.07,25603147.0,25783986.0,51387133.0,1821.0,1527.0,294.0,9534.0,134.0,5143261.0,3157924.0,5143261.0,7,0.1,
더 퍼스트 슬램덩크,2023-01-04,51004390222,0.02,51004390222,4877286,4877286,1060,237488,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,이노우에 다케히코,200.0,1.0,,,,애니메이션,,4.21,79.91,2023.01,25631538.0,25798480.0,51430018.0,2346.0,2064.0,282.0,1607051.0,10814.0,,,,1,0.15,
노량: 죽음의 바다,2023-12-20,45005458475,0.018,45005458475,4572978,4572978,2196,155686,한국,한국,(주)빅스톤픽쳐스,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",12세이상관람가,김한민,312.0,0.0,김윤석,백윤식,정재영,사극,액션,3.58,74.85,2023.12,25565736.0,25759593.0,51325329.0,2301.0,1884.0,417.0,1691765.0,7255.0,4572978.0,4572978.0,4572978.0,12,1.0,0.06
