title,rating,reviews
서울의 봄,3.9,하아 대머리 죽었지만 다시 죽이고픔
서울의 봄,3.9,야만과 무능의 그 겨울밤에 대한 분노가 시종 팽팽한 긴장감 속에서 펄펄 끓는다.
서울의 봄,3.9,예정된 비극을 바라보는 참담함
서울의 봄,3.9,"""실패하면 반역, 성공하면 혁명 아닙니까?""그럼에도, 다시금 봄이 찾아왔기 때문에그들의 성공은 혁명으로 기억되지 않는다."
서울의 봄,3.9,"거울 속 비친 전두광 자신의 모습이 어떠했을까 아주 잠깐일지 몰라도 분명 전두광의 표정은 어두웠다. 그의 웃음소리는 분명 ‘억지로’ 내는 듯한 느낌이었고, 모든 걸 다 가졌음에도 ‘군인으로서, 인간으로서’ 자격이 없다는 이태신의 마지막 말 한 마디가..."
서울의 봄,3.9,"전두광, 본명보다 잘 어울리는 광인의 가명.-김의성 님은 대체 어떤 삶을 살아왔길래 저리 비열한 역할이 찰떡일까. 국방장관 나올 때마다 전두광이랑 어디 용암에다 던져버리고픈 심정."
서울의 봄,3.9,"왜 전우를 배신한 자들이 웃고, 신념을 지킨 자들은 고통 받아야 하는가"
서울의 봄,3.9,"정의가 없었던 힘은 거센 폭력이었고, 힘이 없었던 정의는 헛된 희망이었다."
범죄도시2,3.5,“돈 필요해? 5대 5로 나눌까?”“누가 5야?”
범죄도시2,3.5,"스토리가 좀 빈약하면 어떠한가 자고로 오락 영화라고 하면 이런 통쾌한 카타르시스가 느껴져야 볼 맛이나는 법이지.. 복잡한 설정, 설명 이딴거 다 집어치우고 오로지 직진만 하는.. 그래서 지루 할 틈이 없는 영화. <이터널스>의 초능력을 그대로 가져온..."
범죄도시2,3.5,어떤 상황에서도 그의 활약을 조바심 없이 즐길 수 있는 아는 맛.
범죄도시2,3.5,주먹이 맛있고 알통이 친절해요
범죄도시2,3.5,시리즈로 손색없다.
범죄도시2,3.5,다시 돌아온 여름을 맞이하는 시원한 수박(마저 터트려 버릴 것) 같은 영화.
범죄도시2,3.5,"마석도가 길가메시보다 확실히 더 쎄고,강해상은 데비안츠보다 더 무섭다."
범죄도시2,3.5,전편보다 더 좋은 영화이다. 마동석과 손석구의 공이 크다.
파묘,3.5,왜놈새끼 죽어서도 지랄이네…
파묘,3.5,돼지띠 청년들 이 영화 보시고 일자리 정보 얻어가세요
파묘,3.5,고은언니는 도깨비를 진짜 잘 다룬다…
