title,rating,reviews
1947 보스톤,5.0,"2023.9.18. '국립국어원(온라인가나다 상세보기)'이 답변한 내용에 따르면 , 'Boston'에 대해 한글 '보스턴'으로 심의되었다는 답변을 받았습니다.따라서, '1974 보스톤'이 아니고, '1947 보스턴'으로 영화 제목이 변경되야 합당하고 타당할 것으로 사료 됩니다.저는 1947 보스턴 마라톤 우승을 기념한 김구 선생의 '족패천하' 휘호를 추앙하는 사람입니다. 2023.9.23. 단월(丹月) 장현욱"
1947 보스톤,2.9,올드하고 촌스러운 구석들이 있지만 후반부의 담백하면서도 몰입감을 선사한 가족용 한국영화! 간간이 나오는 유머라든지 배우들의 능글맞음은 추석용 영화로 나쁘지 않았다. 그러면서도 후반부의 몰입감은 누구나 느낄 수 있는 보편성에 의거하여 쉽...
1947 보스톤,2.9,실화 인물 바탕의 영화 초반 너무 공식을 따르긴 했지만 기름기는 잘 뺐다임시완은 배우로 점점 완성형이 되어간다
1947 보스톤,2.9,누군가가 간절히 노력하는 모습이 좋지 않았을 리 없다누군가의 희망은 여전히 뛰고 있다고 알려주는 영화신파는 너무 거슬렸다
1947 보스톤,2.9,Good : 런복동은 너무 나갔다. 임시완은 빛났다.Caution : 국뽕도 나라가 잘돼야 생긴다.
1947 보스톤,2.9,정해진 지점들 사이로 그저 터덜터덜 달린다.
1947 보스톤,1.0,"천만쓰레기 해운대에 버금가는 촌스러움의 극치! 감독도 배우도 모두 과거의 영광에만 머물러있는 듯, 미래로 나아갈 희망이 보이지 않는다. 한국영화계는 망하는 중,"
1947 보스톤,5.0,"열정적이면서 감동스러운 스포츠실화였습니다! 광복 후 1947년 보스턴에서 열린 마라톤 대회에 처음으로 태극기를 달고 한국 대표로 출전한 서윤복과 그를 전격적으로 지도해준 베를린 올림픽 금메달리스트 손기정의 한국의 독립과 존재성을 알리기 위한 열정적인 경기 진행과 눈물겨운 첫 승리까지 말 그대로 굉장히 감동적이었습니다! 전반적으로 감동과 눈물겨운 승리의 역사를 절묘하고 아름답게 잘 표현한 실화였으니, 별 5개 드립니다!!"
1947 보스톤,2.9,42.195km를 가슴 뭉클하게 완주하고 싶었다#상실#메가박스
1947 보스톤,2.9,당김없이 밀기만.
1947 보스톤,2.9,"보고왔는데, 보지도 않고 엄복동거리는 댓글 뇌절금지 극장에서 봐서 더 좋은 소재였고 국뽕맛은 달달하더라 가끔 이렇게 각시탈을 한번씩 해줘야지 아직도 황국신민인줄 아는 사람들이 너무 많다. + 첫댓글 애니프사 어그로 1마리때문에 댓글 난장판 ..."
30일,3.6,우리가 가난한걸 어떻게 알았을까...? 우리옷! 옷이 더럽잖아.  그게 어때서?  “어떤 사람들은 겉모습만 보고 사람을 판단한대.”  - - 추가비용이 들줄은 나도 ...
30일,3.6,할머니의 손맛이 항상 맛있는건 아니다.
30일,3.0,혹시나 했는데 역시나...흠...이병헌 감독이 연출 한 것 같은 특유의 쉴새없는 말장난 대사...웃음코드가 안 맞지만아주 조금 실소는 했다는...사실...
30일,3.0,남대중 감독이 연출한 <30일>은 30일간 이혼 조정 기간을 갖게 된 부부가 사고를 당한 후 기억을 잃게 되면서 벌어지는 이야기를 담고 있습니다.고시생인 정열(강하늘)은 자신이 사랑하는 여자 나라(정소민)의 결혼식을 그냥 두고 볼 수밖에 없는 처지에 있습니다. 초라한 자신과 부잣집 딸인 나라의 신분(?) 차이가 그를 이렇게 만든 것이죠. 그런데 나라는 식장을 뛰쳐나와 정열에게 찾아가고 마지막 기회(?)를 줍니다. 그렇게 다시 연인이 되고 둘은 결혼을 합니다.하지만 결혼준비부터 삐걱된 둘은 결국 결혼 생활이 몇 년 지나지 않아 원수지간이 되고 이혼을 하게 됩니다. 그런데 조정기간 첫 날 교통사고가 나고 둘은 모두 기억상실증에 걸립니다. 자신의 부모까지 알아볼 수 없는 지경이 된 거죠. 서로 원수지간이지만 같은 환경에 있어야 기억을 빨리 찾는다는 의사에 말해 둘은 어쩔 수 없이 다시 함께 살게 됩니다. 뻔한 소재의 이야기이지만 로맨틱 코미디의 정석을 그대로 따르고 있는 이 작품은 소소한 재미가 군데군데 있는 작품입니다. 그 이유는 두 배우의 매력뿐만 아니라 가족들의 캐릭터 설계도 흥미롭게 만들어졌기 때문입니다. 조민수를 비롯한 김선영 배우의 캐릭터도 좋고 나라의 동생 캐릭터도 현실에 존재하는 찐동생 느낌이 있어 리얼한 코미디를 보여줍니다.<스물>에서도 마지막에 연인이 되었던 강하늘과 정소민은 이번엔 원수지간이 되는데요. <스물>과는 달리 찐한(?) 장면도 조금 등장하더라고요. 그리고 일단 두 배우가 이미지적으로 굉장히 잘 어울리더라고요. 앞서 언급한 것처럼 정석대로 진행되는 이야기는 우리가 잘 알고 있는 방식으로 마무리됩니다. 굉장한 야망이 있는 작품은 아니지만 한국영화계에서 거의 실종되고 있는 장르의 작품이라 너무 반가웠고 좀 더 젊은 배우들의 케미스트리를 이런 장르에서 보고 싶네요..
30일,3.6,빈민가의 한가운데 판자촌. 빈민중의 빈민인 아이 둘이 꿈을 꾸는건  큰 것도 아닌 핏자 한판.  많은 시간이 걸려 사먹으려 했지만 냉대속 우는 아이. 인터넷이 좋긴 하구나....  먹어본 적이 없으니 입맛에 맞을까? ㅎ 아이들의 작은 소망. 그리고 큰 희망으로...
30일,3.6,왜 숨었어? TV에 나오고 사람들이 다 우리를 찾고있어서 무서웠어. '빈민가 아이'라고 부르는 것부터가 차별 아닙니까. 할머니가 만든 피자가 더 맛있었어. 이거 언제 다 먹지? 처음에는 그냥 애들이 피자를 먹고 싶어서 돈을 벌면서 일어나는 코미디인...
30일,3.6,부자친구의 먹다만 피자를 뿌리치는 장면을 통해 까마귀알형제는 피자 맛자체보다는 피자먹는 행위를 통해  잠시나마 부자동네의 울타리 너머를 맛보고 싶었던 것이 아니었을까 우여곡절 끝에 자본가가 떠먹여준 피자는 가난하지만 따뜻한 가족에서...
30일,3.6,"막상 큰 꿈을 이루니 별거없네.. . 어린 소년의 시각에서의 현실이 너무 삭막해 많이 안타까웠다. 그곳의 판자촌이나 한국의 지금이나 남녀노소 살기 힘든건 마찬가지인듯.. . 사리사욕에 양심을 판, 몇몇 어른들이 사라져 모두가 공평하고 행복하게 살수 있..."
30일,3.6,인도 사회의 전반적인 문제의식을 어린아이들의 시선으로 유쾌하게 풀어냈으나 그 주제의식만큼은 결코 가볍지않다.
30일,4.0,"코믹하면서 달달한 로맨틱코미디영화였습니다! 티격태격한 끝에 이혼을 선언하고 30일의 숙려기간 동안 뜻밖의 교통사고를 당하여 단기 기억상실증에 걸려버린 부부가 30일 동안 한 집에 같이 살면서 서로를 알아가기 시작하면서 다시 재결합하게 되는 내용으로 공감도는 조금 적기는 했으나 상당히 코믹하면서 달달하게 느껴졌습니다! 전반적으로 공감도는 부족했으나 코믹함과 달달함을 선사했으니, 별 4개 드립니다!!"
30일,3.6,"카레의 나라+신의나라 ""인도""의 면면을 볼수있어서 좋았다!! 친형제 자매가 있다는 건 행복한거다ㅎㅎ"
3일의 휴가,2.9,제일 통제 안 되는 게 부모 마음
3일의 휴가,3.0,"조용하면서 힐링적인 내용이었으나 뭔가 다른 영화의 오마주같은 느낌의 가족영화였습니다! 저승에서 3일의 휴가를 받고 이승으로 돌아온 엄마가 자신의 집으로 미국에서 강사하던 딸이 들어오면서 서로 만나기 위한 안간힘과 그녀가 만드는 각종 요리들의 향연이 마치 예전 '리틀 포레스트' 내용과 비슷하다는 느낌이 들었습니다! 전반적으로 조용함과 힐링은 가득했으나 다른 영화의 오마주같은 느낌만 든 영화였으니, 별 3개 드립니다!!"
