iter	Passed	Remaining
0	1	491
1	2	429
2	4	407
3	5	397
4	6	390
5	8	396
6	9	395
7	11	399
8	12	400
9	14	402
10	15	409
11	17	407
12	18	405
13	19	404
14	21	403
15	23	404
16	24	405
17	26	407
18	27	408
19	29	408
20	31	408
21	32	410
22	34	409
23	35	408
24	37	407
25	38	405
26	40	405
27	42	406
28	44	409
29	45	408
30	47	408
31	49	408
32	50	406
33	52	405
34	53	403
35	55	401
36	57	401
37	58	400
38	60	399
39	61	397
40	63	395
41	64	393
42	66	391
43	67	389
44	69	387
45	70	385
46	72	385
47	74	385
48	75	382
49	77	380
50	78	378
51	80	377
52	81	375
53	82	372
54	84	370
55	85	368
56	87	367
57	88	366
58	90	364
59	91	362
60	93	360
61	94	358
62	95	356
63	97	354
64	98	352
65	100	351
66	101	349
67	103	347
68	104	346
69	106	344
70	107	342
71	109	341
72	110	339
73	112	337
74	113	335
75	114	334
76	116	332
77	117	331
78	119	329
79	120	327
80	122	325
81	123	324
82	125	322
83	126	320
84	127	319
85	129	317
86	130	316
87	132	314
88	134	313
89	135	312
90	137	311
91	138	309
92	140	307
93	141	306
94	143	304
95	145	304
96	146	302
97	148	300
98	149	299
99	151	297
100	152	295
101	153	294
102	155	292
103	156	291
104	158	289
105	160	288
106	161	286
107	162	285
108	164	283
109	166	282
110	167	280
111	169	279
112	170	278
113	172	276
114	174	275
115	175	274
116	177	272
117	178	271
118	180	270
119	182	268
