title,date
"Gasoline Prices Expected To Rise, But Nobody Is Saying When. ",1986-11-04
A Tax On Imported Oil May Be Due. ,1986-11-27
Robert Walters... Case For Tax On Imported Crude Oil. ,1986-12-01
The Case For An Oil Tax. ,1986-11-21
Ultramar Pumps Up Price Of Gasoline 2 Cents A Litre. ,1986-11-05
A Good Time For New Import Tax On Oil. ,1986-11-23
Jo Years. Fishing-Is &Ood For The Soulf... In Washington The ,1986-11-19
Long-Term Outlook Good For Oil Company Stocks. ,1986-11-21
Yamani Strategy Was Sidestepped. Victor Bienstock. ,1986-11-04
Egypt Hoping For More Oil From Desert. ,1986-12-01
"Mexico, Us. Sign Oil Deal Fhat Might Total $R. ",1986-11-14
Oil Output Plummets. ,1986-11-20
World's 2nd Largest Firm Disappointed With Profit. ,1986-11-07
"Ultramar, Shell Boost Prices For Gas At Outaouais Stations. ",1986-11-05
The Argus-Press ,1986-11-22
The Tuscaloosa News ,1986-11-02
Rising Crude Oil Costs Cited As Gas Prices Rise Two Cents. ,1986-11-17
Japan Oil Refiners May Trade In Us. ,1986-11-13
Winter Energy Outlook Said Good. ,1986-11-26
Opec Output Needs Estimated. ,1986-11-12
Opec Panel Seeks $18 Oil; Leaves Production Issue Open. ,1986-11-16
Gas Prices May Have Bottomed Out. ,1986-11-14
Crisis Forges Consensus Among Oil Producers. ,1986-11-23
Oil Production Is Reported Declining In Lower 48 States. ,1986-11-21
Exec Wants Minimum Oil Price. Api Head Thinks Plan Is Only ,1986-11-12
Exec Wants Minimum Oil Price. Api Head Thinks Plan Is Only ,1986-11-12
Minimum Floor Price Asked For Domestic Oil. ,1986-11-12
Staying Warm Will Cost Less This Winter. ,1986-11-24
World's Oil Prices Smooth Out. ,1986-11-01
Opec Eyes Crude Barrel Price Of $18. ,1986-11-15
Upgrader Site Waiting For Giant Hydroprocessor ,1986-11-10
Shell Disappoints In The Third Quarter. ,1986-11-07
Shell Disappoints In The Third Quarter. ,1986-11-07
The Phoenix ,1986-11-24
Using Oil Imports Eyea. ,1986-11-27
Saudi Change Brings A Surge In Oil Prices. By Kenneth. N. ... ,1986-11-02
Lroodyear May Ry. Lo.. Stop Goldsmith Takeover Attempt With ,1986-11-04
Energy Futures Prices Take A Beating. ,1986-11-25
The Albany Herald ,1986-11-25
Goodyear May Try To Derail Takeover. ,1986-11-04
Imperial Lone Holdout In Gasoline-Price Rise. ,1986-11-06
The Wrong Answer. Bv William Murchison ,1986-11-30
Higher Interest Rate Fears Abate. ,1986-11-04
Higher Interest Rate Fears Abate. Cheaper Money Were ... ,1986-11-04
