title,date
The Daily Gazette ,1991-03-05
"Oil Companies Profits Are Seen As Immodest, If Not Obscene'. ",1991-03-06
Oil Companies Profit From War. Dallas ,1991-03-06
Oil Prices Gush On News Soviets Will Slash Exports. ,1991-03-19
Futures ,1991-03-17
"Kit Victoria Advocate. Sunday, March. Hi Wartime Trading Of ",1991-03-17
Opec Hui Mahum. Iyli Icaps. Oil Production At 22.3 Million ... ,1991-03-13
Opec Agrees To Restrain Oil Production ,1991-03-13
War Unlikely To Jolt Us. Into Changing Energy Policies. ,1991-03-01
"Oil Industry's Windfall Profits Fading Fast. Co Inc, A ... ",1991-03-20
Opec Decides To Restrain Oi Production About 5 Percent. ,1991-03-13
Business May Slow Down. This Is. A Listing Of The Average ,1991-03-12
Oil Prices Dip After Generally Strong Week. ,1991-03-23
Opec Split Over Oil Production Cut. ,1991-03-12
Energy Prices Mixed As Oil Ministers Meet. ,1991-03-12
Opec Opens First Postwar Meeting. ,1991-03-12
Gainesville Sun ,1991-03-12
No Encore For Big Oil's Big Fourth Qua. ,1991-03-20
New Straits Times ,1991-03-11
Opec Canei Noias Tin Meeting Since. Since Gulf Gulf. We ,1991-03-12
Texans Trying To Tame The Flames Of Kuwait. Oil Wells: Teams ,1991-03-27
New Englanders Complain Regulators Block Capital. ,1991-03-12
Petronas Satisfied With Price Of Crude. ,1991-03-14
Catherine Oil Plays Crucial Role In Our Lives. ,1991-03-27
Per Liter. The Refinery Processes The Crude Oil And By ... ,1991-03-03
Opec Works Out Plan To Boost Oil Prices. ,1991-03-12
Crude Oil Prices Fall A Bit. ,1991-03-07
Opec Restrains Oil Production To Halt Slide. ,1991-03-13
Opec Agrees To Restrain Wartime Oil Production ,1991-03-13
Tank Farm Will Benefit Gushing Area. ,1991-03-27
Opec Cuts Lift Oil Prices. ,1991-03-14
Oil ,1991-03-01
Dpec Ministers Agree To Cut Oil Production ,1991-03-13
Oil Industry's Windfall Pro. ,1991-03-19
"Oil Prices Up, But Don't Blame War. ",1991-03-01
Opec Agrees To Cut Back Production ,1991-03-12
Arabs Dispute Us. Influence Over Opec. ,1991-03-14
Oil Editorial... Misleading Oil Editorial. ,1991-03-11
Lasting Effects Possible From Oil Spill. ,1991-03-19
New Straits Times ,1991-03-09
Oil Capacity Believed Cut By 3rd In Iraq. ,1991-03-10
Editorials Safer Tankers. ,1991-03-03
Will Opec Stem The Flow Of Oil? Plan: Cartel Hopes To Raise ,1991-03-12
Crude Leaks From Pipeline. ,1991-03-05
Congressional Hearing. Critics Say Oil Speculation Damaging,1991-03-13
Opec Officials To Set Postwar Oil Policy. ,1991-03-10
Opec Ministers Agree To Reduce Oil Output. ,1991-03-12
"Oil Spill In California Could Affect Ocean's Food Chain, ... ",1991-03-19
Cleanup Of Iraq Ecological Vandalism Is Daunting. ,1991-03-02
Gas Prices May Increase. ,1991-03-04
New Straits Times ,1991-03-08
Star-News ,1991-03-26
Oil Allowable Still 100%. ,1991-03-21
Avoidina Future Oil Spills. ,1991-03-06
Sarasota Herald-Tribune ,1991-03-06
Double Hulls Aren't The Answer. ,1991-03-05
Tinned Its Cost. ,1991-03-06
High Risk Of Spills. ,1991-03-06
"630,000 Gallons Of Crude Spill In Minnesota. ",1991-03-04
Kuwaitis Will Set More Wells Afire. ,1991-03-23
Crude Costs. ,1991-03-02
Colombian Pipeline Bombed; 21 Killed In Fighting. ,1991-03-12
Oil Climbs As Opec Talks Approach. ,1991-03-02
Opec Approves Production Cuts. ,1991-03-13
"Oil Fires May Burn Up To 5 Years, Force Kuwait To Import. ",1991-03-06
War In The Gulf. A Chronology. ,1991-03-03
The Indian Express ,1991-03-02
"Nearly 630,000 Gallons. Of Oil. Into It. Rivpr ",1991-03-05
Kuwait Roads Covered By Flowing Oil. ,1991-03-23
Some Opec Nation Urge Production Cut. Way To Boost Prices; ,1991-03-12
Oil From Pipeline Hits River; Cause Pro. ,1991-03-04
Oilfield Damage Worse Than Experts Feared. ,1991-03-06
Commodities ,1991-03-21
Gop Likely To Reject Panel's Tax Bills. ,1991-03-11
Gop Likely To Reject Panel's Tax Bills. ,1991-03-11
Preate Criticizes Us. Agency For Failing To Control Oil ... ,1991-03-14
"Mir, Rise In Region ",1991-03-06
"Crews Try To Contain 630,000-Gallon Oil Spill. ",1991-03-03
Eugene Register-Guard ,1991-03-05
Oil Prices Show Retreat. ,1991-03-16
Us Economy Needs Repair With War's End. ,1991-03-03
Ok A Heroic Effort. Work To Save Wildlife On Oil-Soaked ... ,1991-03-13
Cash Grain ,1991-03-02
"630,000 Gallons Of Oil Spilled. ",1991-03-04
"Oil Prices Dip, Futures Rise. ",1991-03-07
Kuwait Oil Fires A Disaster. ,1991-03-28
Crude Spilled In Minnesota. ,1991-03-04
Oil Spilled In Minnestota. ,1991-03-04
Gulf War Reconstruction To Benefit Rp's Economy. ,1991-03-05
"Questions, I I Lie. My Answers: How War's End Will Affect ... ",1991-03-03
Gadsden Times ,1991-03-09
Undersea Damage. ,1991-03-21
Oil Prices Back Above $19. ,1991-03-01
'Last Cleanup Year For Exxon Spill Starts. ,1991-03-28
Opec Agrees To Cut Oil Output By A Million Barrels A Day. ,1991-03-13
"Opec Can't Reach Pact On Oil Cuts. Saudis, With Big War ... ",1991-03-12
Opec Agrees To Cut Production ,1991-03-13
"Silver Price Off Sharply, Rally Fails. ",1991-03-21
The Daily Gazette ,1991-03-23
"Opec Watch. Stocks Lose Ground, Energy Prices Mixed. ",1991-03-12
Fouled Gulf Is Ecological Nightmare. ,1991-03-03
Oil Spill Plan Now Tough State Law. Governor Calls New ... ,1991-03-29
Thornburg Seeks Laws To Battle Petroleum Price Gouging. ,1991-03-14
Oil Spill Collected. ,1991-03-05
Lodi News-Sentinel ,1991-03-30
Commodities ,1991-03-13
Research Questions Weight Gain Issue. ,1991-03-15
Tanker Anchor Causes Oil Spill. ,1991-03-18
California Refinery Source Of Spill. ,1991-03-18
Us Now Must Turn Its Attention To The Economy. ,1991-03-03
Firm To Produce Crude Oil From Plastic. ,1992-08-11
Turnovers Show Good Prospects For Oil Trade. ,1992-08-22
"Pemex, Shell To Invest In Us Refinery. ",1992-08-27
The Deseret News ,1992-08-15
Scraps Plans To Buy Our Crude Oil. ,1992-08-19
Opec Crude Output Exceeds Ceiling. ,1992-08-10
Ropes In Two Foreign Govt-Linked Firms. ,1992-08-18
The Indian Express ,1992-08-17
Commodities By Tl. Kwong Factors That Put World Oil Markets ,1992-08-14
The Indian Express ,1992-08-02
Brews In Russian Oil Fields. ,1992-08-08
"Warning Chemicals Known To The State To Cause Cancer, Birth ",1992-08-26
Warning ,1992-08-26
