title,date,
North Dakota crude oil production hits record high Bakken fuels North Dakotaoil production growth,2014-08-04,US Energy Information Administration
Congressman Wants Bakken Oil Stabilized Before Being Shipped By Rail Adani in talks with Indian Oil for Rs 30000 crore US oil exports reach 1950s milestone set by Suez tumult,2014-08-07,
August differentials offer insight into Aramcos oil pricing US Energy Information Administration,2014-08-08,
Oil extends losses Brent crude hits 13month low,2014-08-08,
India is increasingly dependent on imported fossil fuels as demand continues to rise US Energy Information ,2014-08-13,
Commercial Crude Oil Cavern Storage in Houston,2014-08-15,
Why crude oil inventory data is crucial for investors,2014-08-17,
Canadian runaway oil train disaster blamed on weak safety culture poor oversight,2014-08-18,
Government plans to stop RIL from selling crude to Jamnagar refinery,2014-08-19,
Tiny Ghana Oil Platforms Big Output Sparks Scrutiny,2014-08-20,
Average Brent crude oil prices trade within 5 per barrel range for 13 months in a row US Energy Information Exxon Mobil Unit To Pay 14 Million For Louisiana Oil Spill,2014-08-21,
US liquid fuels production growth more than offsets unplanned supply disruptions US Energy Information ,2014-08-26,
Australia Rich in Commodities but not Oil,2014-08-28,
Crude oil pipeline growth revenues surge construction costs mount,2014-08-31,
Coliquefaction of swine manure and mixedculture algal biomass from a wastewater treatment system to produce bio ,2014-09-01,
Changing Markets Economic Opportunities from Lifting the US Ban on Crude Oil Exports Brookings,2014-09-08,
Crude oil price slips below US100 Crude calamities the biggest offshore oil spill disasters,2014-09-09,
Mustknow The relationship between oil rigs and crude prices Crude calamities the biggest offshore oil spill disasters,2014-09-10,
Islamic State fighters drawing on oil assets for funding and fuel Panama Canal expansion will allow transit of larger ships with greater volumes US Energy Information Administration,2014-09-15,
Oil Price Quirk Sends Crude Out to Sea,2014-09-17,
Global crude oil price of Indian Basket was US 9671 per bbl,2014-09-18,
Nigerias illegal oil bunkerers,2014-09-19,
Higher Permian production constrained infrastructure increase spread between WTI oil hubs US Energy Information ,2014-09-22,
Rosneft ExxonMobil Open New Oil Field In Arctic Ocean,2014-09-25,
Putting the brakes on crude oil rail transport,2014-09-27,
The environmental consequences of targeting Syrias oil refineries,2014-09-28,
Why Gas and Oil Prices Dont Always Move,2014-09-30,
Oil Spill Task Force Braces For More Crude By Rail,2014-10-01,
Oil Prices Continue Decline Pressured by Saudi Action to Defend Market Share Crude Oil with an Extremely Rare Pattern Oil Spill Task Force Braces For More Crude By Rail,2014-10-02,
EU abandons dirty label for tar sands oil,2014-10-05,
Oil prices are plummeting European Union drops plan to label oilsands crude dirty,2014-10-07,
Lower demand higher supply drive oil prices to lowest level since 2012 US Energy Information Administration,2014-10-08,
A Tombstone Mentality On Exploding Oil Trains,2014-10-09,
Executive QA Canary LLC oilfield services company exec favors crude oil exports,2014-10-10,
Oil subsidy to drastically fall,2014-10-12,
Brent crude oil slides to lowest price,2014-10-13,
IEA cuts oil demand forecast,2014-10-14,
Crude oils new reality OPEC no longer a monopoly Evidence Connects Quakes to Oil Natural Gas Boom,2014-10-15,
Fall in crude oil prices likely to deepen natural rubber crisis in India,2014-10-16,
Crude oil spills kills wildlife,2014-10-17,
Oil marketing companies brace for competition,2014-10-18,
Indias Modi Exploits Oil Price Collapse to End Diesel Subsidies,2014-10-20,
Crude Complications Venezuela China and the United States,2014-10-22,
Bomb trains A crude awakening for Richmond Calif,2014-10-23,
Opinion Lifting the ban on domestic oil exports would lower US gas prices a little bit,2014-10-24,
If oil drops to 70 what will gas cost,2014-10-26,
Opinion Why the US Should End Its 40Year Ban on Exporting Crude Oil If oil drops to 70 what will gas cost Chinas Crude Oil Imports Surge Despite Slow Demand,2014-10-27,
Why Is the US Still Importing So Much Oil Venezuelan Imports Light Crude From Algeria,2014-10-28,
Oil tanker trains threaten to trash US northwest Chinas Big Oil Companies Battered by Low Crude Oil Prices,2014-10-29,
New Oil Train Safety Rules Divide Rail Industry,2014-10-30,
Muradel produces crude oil from algae at demonstration plant,2014-11-01,
US gasoline prices move with Brent rather than WTI crude oil,2014-11-02,
When Oil Prices Drop Some Countries Lose US Crude Export Controls are Crumbling,2014-11-04,
Gazprom Neft moves to optimize Prirazlomnoye oil field,2014-11-06,
Rail shipments of oil and petroleum products through October up 13 over yearago period US Energy Information ,2014-11-12,
Shell warned Nigeria pipeline could leak before spills Have crude oil prices found a bottom,2014-11-13,
Benefits of Free Trade Crude Oil Exports Have crude oil prices found a bottom Commodity News Energy US crude oil production tops 86 million bbl in August,2014-11-17,
Crude oil prices in check ahead of OPEC meeting to get crude oil storage facility,2014-11-18,
Trains carrying oil raise tough questions in Northwest,2014-11-20,
Brent Oil Prices to End the Slump Soon EM oil producers risk ratings downgrade on low crude price,2014-11-24,
US gasoline prices this Thanksgiving are the lowest since 2009,2014-11-25,
Oil price falls ahead of Opec meeting US gasoline prices this Thanksgiving are the lowest since 2009,2014-11-26,
Oil prices keep plummeting as OPEC starts a price war with the US How Crude Oils Global Collapse Unfolded WSJ,2014-11-27,
Short Call On Crude From Ira Sohn Conference Profile Opec club of oil producing states,2014-11-28,
Needle on Zero Nigerias Economy Tanking as US Oil Exports Dry Up AsiaPacific refining primed for capacity growth,2014-11-29,
Global reserves oil production show increases Canadian Natural Resources says pipeline spilled 60000 litres of crude,2014-11-30,
Physical and rheological properties of deasphalted oil produced from solvent deasphalting Alberta pipeline spills 60000 litres of crude oil into muskeg Globalnewsca,2014-12-01,
Oil price drop creates winners and losers Finance Ministry Reserve Bank of India to plan ways for hedging crude imports,2014-12-02,
Thousands of Barrels of Shell Oil Spill Into Niger Delta Saudi Arabia Cuts All January Crude Oil Prices to US Asia Not How Does America Move Oil Now Brookings,2014-12-03,
Reverse oil shock rattling worlds oil producers Large oil spill in Israeli nature reserve Oil Prices Are Headed For 60 A Barrel Theres Nothing To Stop It,2014-12-04,
Energy optimization of crude oil distillation using different designs of preflash drums Morgan Stanley Cuts Oil Forecast Oils Price Is Plunging So Why Isnt Gas Even Cheaper,2014-12-05,
Morgan Stanley Cuts Oil Forecast,2014-12-07,
Massive oil spill almost twice the size initially thought Holding Railroads Responsible for Oil Spills Disaster Planning Pipeline disaster called crude reminder of oils dangers,2014-12-08,
The Economic and Budgetary Effects of Producing Oil and Natural Gas From Shale North Dakota Regulators Tell Producers to Filter Crude Oil of Flammable LiquidsOil price drop offers shortterm gains but longterm pains,2014-12-09,
Oil price fallout Producers struggle as GDP grows Can Nigeria Endure Falling Oil Prices,2014-12-11,
OPEC urges increased investment despite low crude oil price,2014-12-16,
Oil spill in Israels Evrona Nature Reserve is disastrous news for a precious resource OPEC net oil export revenues expected to fall in 2014 and 2015 ,2014-12-17,
Argentina to cut crude oil petrol pump prices oil union head,2014-12-19,
The real winners and losers from the falling oil price Nigerian oil gas crude challenges Opec oil output will not be cut even if price hits 20,2014-12-22,
In some Maryland railroad towns crude oil is an open secret,2014-12-25,
10 Huge Countries Without Their Own Oil,2014-12-26,
Chemical prices fall sharply as crude oil prices tumble,2014-12-29,
Crude harvest Selling Mexicos oil Oil gluts Great Depression style,2014-12-30,
US Oil Falls 46 Steepest Yearly Loss Since 2008 Will falling commodity prices bring down Malaysian growth as well,2014-12-31,
The falling price of Crude Oil and the impact on developing economies like Nigeria Crude Oil Dips Under 50 A Barrel A Price Last Seen In 2009,2015-01-03,
Gas Prices Continue Dive As Crude Oil Falls Below 50 Per Barrel Oil prices slip below another milestone Energy had larger price declines than most nonenergy commodities in 2014 ,2015-01-05,
