title,date,
Saudis Even Pump Gas. ,1989-06-02,
Point Of View George P. Mitchell It. Energy Security. ,1989-06-03,
"Pipeline Spills 13,200 Gallons Of Crude Oil Into Colo River. ",1989-06-04,
Business Khomeini's Death May Speed Up Opec Meeting. ,1989-06-05,
Crude Oil Price Seen Sliding If Output Limit Set. ,1989-06-06,
Shell Plans $200i Refinery Upgrade. ,1989-06-07,
Opec Says Pact Will Firm Up World Prices. ,1989-06-10,
Energy Futures Prices Dip. ,1989-06-11,
"Rising Gasoline Prices, Shortages Said Likely. ",1989-06-14,
"Gasoline, Heating Oil Futures Slip. ",1989-06-14,
Texas Oks Stiff Tax On Burning Fuel Oil At Plants,1989-06-15,
Oil Dispute Exposes Vulnerability. ,1989-06-15,
"Oil Production Dipped, Natural Gas Output Rose . ",1989-06-16,
Price Cuts Spark New Petrol War. ,1989-06-17,
Gas Supply Pinch Foreseen. ,1989-06-17,
Surging Oil Price May Mean Time To Sell. ,1989-06-18,
"Squeeze Foreseen, But No Return Of Gas Lines. ",1989-06-18,
Proportion Of World's Crude Oil Produced By Opec.,1989-06-19,
"Supply Squeeze Foreseen, But No Gas Lines Return. ",1989-06-22,
Crippled Tanker To Head South For Repairs. ,1989-06-23,
Workers Scoop Oil Blobs From Delaware River,1989-06-27,
Crude Oil Futures Climb. ,1989-06-28,
Hearings Open On Weekend Oil Spills. ,1989-06-28,
Probe Of Gasoline Price Hikes Continues. ,1989-06-30,
Gas Prices Are Stable For 1st Time Since Spill. ,1989-06-30,
Oil Silences Nature Compelling Siren Song. ,1989-09-03,
"Oil, Gasoline Futures Prices Rise. ",1989-09-06,
State Firms To Finance Oil Fund. ,1989-09-09,
Oil Cleanup Ends. ,1989-09-15,
Oil Scars Still Remain In Alaska. ,1989-09-15,
"Exxon Halts Spill Cleanup, Governor Praises Efforts. ",1989-09-16,
Phillips Ceo. Lauds British Cleanup After Oil Spil,1989-09-20,
Stain Of Scandal Won't Wash Off Barney Frank. ,1989-09-21,
Rise In Crude Oil Import. ,1989-09-23,
Opec Comes Close To Abandoning Oil Quotas At Meeting. ,1989-09-29,
Mechanics Creating Huge Oil Spills Diabetes Dangerous,1989-11-01,
Heating On Prices In Massachusetts Up Massachusetts. ,1989-11-01,
Oil Futures Decline. ,1989-11-03,
Oil Futures Prices Down. ,1989-11-04,
House To Weigh Liability For Spills. ,1989-11-05,
Even Smaller Oil Spills Take Big Cleanup.,1989-11-05,
Gasoline Prices Move Downward. ,1989-11-06,
House To Vote This Week On Oil Spill Legislation ,1989-11-06,
States Oil Spill Laws Maintained. ,1989-11-09,
Fuel Prices Drop Again ,1989-11-10,
House Approves Oil Spill Legislation ,1989-11-10,
Refinery Output May Be Doubled. ,1989-11-13,
Efforts To Drill Offshore Set Back By Alaska Spill. ,1989-11-15,
Heating Oil Prices Fall Due To Weather. ,1989-11-16,
Energy Futures Increase. ,1989-11-18,
Crude Forecast Lower. ,1989-11-20,
Gasoline Prices Fall. ,1989-11-21,
Crude Oil Prices Jump. ,1989-11-21,
Oil Futures Prices Rise. ,1989-11-21,
"Louisiana Superport: No Spills, No Profit. ",1989-11-22,
"Tugs Corral Runaway Fuel Barge, Officials Scuttle Demolition ",1989-11-23,
Crude Production Down In State. ,1989-11-25,
Alaskan Oil Spill Turning Into Legal Morass. Major Legal ... ,1989-11-26,
"Opec Leaders Meet, Discuss Output, Price. ",1989-11-27,
Refinery May Shut If Striking Workers Defy Return Order. ,1989-11-27,
Hearing Under Way In Oil Spill Case. ,1989-11-28,
Oil Companies Braced For Monopolies Report. ,1989-11-28,
Opec Approves Limit On Crude Oil Production ,1989-11-29,
Opec Production Deal May Slow Oil Price Dip. ,1989-11-29,
Gas Prices Declining. ,1989-12-01,
Sensible Approach Vital In Fighting Oil Spills. ,1990-06-28,
Refinery Lobbies Council On Permit. ,1990-06-29,
"Oil Prices Drop, But Market Remains Jittery. ",1990-10-02,
Hint Of Peace Reduces Oil Prices. ,1990-10-02,
Oil Down Sharply. ,1990-10-03,
Oil Prices Drop Amid Uncertainty. ,1990-10-03,
Persian Gulf Crisis May Harm Or Helo Farmers. ,1990-10-04,
Prices On Retail Gas Increase Roughly 6 Cents In 2 Weeks. ,1990-10-05,
Gas Price Cap Not The Answer. ,1990-10-06,
Truest For Oil Has A New Sense Of Ugency Now. ,1990-10-06,
Gas Prices Continue To Balloon ,1990-10-07,
Gas Prices Still Rising. ,1990-10-08,
Gas Prices Up Again By 6 Cents. ,1990-10-08,
Crude Oil At Record High. ,1990-10-10,
Crude Oil Hits Record High Price. ,1990-10-10,
Crude Oil Hits A Record High. ,1990-10-10,
Energy Department Picks Reserve Bids. ,1990-10-11,
Saudis Crank Up Oil Production Price Of Crude Again Tops $40 ,1990-10-12,
West Texas Oilmen Offer Cautious Views On Future. ,1990-10-16,
Crude Oil Prices Swing Wildly,1990-10-18,
Crude Oil Prices Retreat. ,1990-10-18,
New Jump In Gasoline Price Feared. ,1990-10-19,
"Volatile Oil Prices Plunge, Rebound, Settle Higher. ",1990-10-19,
Crude Oil Prices Plunging. ,1990-10-20,
Oil Futures Trading Game Strictly For The High Rollers. ,1990-10-21,
Big Oil's Profits Won't Keep Pace With Price Hikes.,1990-10-22,
Gas Prices Not Affected By Oil Costs. ,1990-10-22,
Price At Pump. Crude Oil Price.,1990-10-23,
Prices For Crude Oil Drop Record. ,1990-10-23,
Higher Oil Prices Will Boost Farm Costs. ,1990-10-24,
No Fast Relief Seen In Falling Oil Prices. ,1990-10-24,
Sharp Drop In Crude Oil Prices Not Likely To Be Reflected At ,1990-10-25,
Energy Expert Gives Range Of Gasoline Prices For Year. ,1990-10-26,
Places In The News The Other Hostages. ,1990-10-27,
Oil Industry Reports Mixed Bag Of Profits And Losses. If ... ,1990-10-30,
Researchers Studying Expanded Uses Of Oil-Eating Bacteria,1990-12-01,
Renewed Hope Of Mideast Peace Sends Oil Market Barreling Down,1990-12-02,
"Oil-Eating Microbes Helpful, But No Spill Panacea. ",1990-12-05,
Oil Prices Drop To 4-Month Low. ,1990-12-05,
Crude Oil Prices Drop Sharply. ,1990-12-06,
Market Fluctuations And The Gulf Crisis. Gas-Pump Blues.,1990-12-07,
"Gas Prices Drop, But Don't Expect Reduction At Pump. ",1990-12-07,
Gas Prices Pumped Up Despite Dip In Oil Prices. ,1990-12-08,
Oil Is Plentiful Once Again ,1990-12-10,
Nation Oil Prices Up And Down. ,1990-12-11,
Gas Gap Grows Complains Senator ,1990-12-13,
Plan For Second Oil Futures Market. ,1990-12-14,
Opec Votes To Keep Oil Spigots Open. Latra I M. Minna ... ,1990-12-14,
Prices At Gas Pumps Fall Toward Average. ,1990-12-15,
Idaho Gasoline Prices Begin To Ease A Bit. ,1990-12-16,
Warm Weather Has Heating Oil Lower. ,1990-12-18,
Cohen Pushes Doe To Help Cut Energy Prices. ,1990-12-19,
Oil Oil Price Should Drop In Few,1990-12-19,
"Oil Prices May Be Down At Refinery, But Not Pumps. ",1990-12-22,
Nation Oil Prices Fall Again ,1990-12-22,
Crude Prices Drop But Gas Stays High. ,1990-12-23,
Gas Prices Stay Up As Dealers Recoup Losses. ,1990-12-23,
King Fahd Rejects Calls For Redistribution Of Oil Wealth. ,1990-12-24,
"Oil Prices Down Dramatically At Refinery, Not At Gas Pumps. ",1990-12-24,
Mideast Tensions Push Oil Higher. ,1990-12-26,
Fears Of Middle East War Send Crude Prices Soaring. ,1990-12-27,
Crude Oil Prices Rise On War Fears. ,1990-12-27,
Crude Oil Futures Go Back Up. ,1990-12-27,
Researchers Studying Oil Eating Bacteria Use. ,1990-12-29,
"Precious Metals Surge On Gulf Fears, Weak Dollar. ",1990-12-29,
"Oil Prices Up, But Don't Blame War. ",1991-03-01,
Oil Climbs As Opec Talks Approach. ,1991-03-02,
Us Economy Needs Repair With War's End. ,1991-03-03,
Fouled Gulf Is Ecological Nightmare. ,1991-03-03,
Oil Spilled In Minnestota. ,1991-03-04,
Gas Prices May Increase. ,1991-03-04,
Oil Spill Collected. ,1991-03-05,
"Oil Prices Dip, Futures Rise. ",1991-03-07,
Crude Oil Prices Fall A Bit. ,1991-03-07,
Oil Capacity Believed Cut By 3rd In Iraq. ,1991-03-10,
Gop Likely To Reject Panel's Tax Bills. ,1991-03-11,
Opec Cuts Lift Oil Prices. ,1991-03-14,
Preate Criticizes Us. Agency For Failing To Control Oil ... ,1991-03-14,
Research Questions Weight Gain Issue. ,1991-03-15,
Oil Prices Show Retreat. ,1991-03-16,
Tanker Anchor Causes Oil Spill. ,1991-03-18,
"Silver Price Off Sharply, Rally Fails. ",1991-03-21,
Catherine Oil Plays Crucial Role In Our Lives. ,1991-03-27,
Last Cleanup Year For Exxon Spill Starts. ,1991-03-28,
Oil Spill Plan Now Tough State Law. Governor Calls New ... ,1991-03-29,
Gao: No Manipulation Of Oil Market During War. ,1991-06-01,
Opec To Hold Oil Production Steady. ,1991-06-04,
Teheran In Deal With French Oil Company. ,1991-06-05,
Gasoline Futures Hit Postwar Low. ,1991-06-06,
Oil Prices End Week Lower. ,1991-06-08,
Oil Prices Slide Lower. ,1991-06-08,
Oil Rallies In Short Session ,1991-06-12,
Oil Prices Drop Below $20. ,1991-06-15,
Latin Arms Industry Lost A Major Customer. Financial ... ,1991-06-15,
"Oil Prices Fall, Gas Prices Don't. ",1991-06-15,
200 Million Tonnes Of Crude Oil Pass Through On Way To Japan,1991-06-16,
Oil Pan Futures Tumble. ,1991-06-20,
Oil Futures Mixed; Gas Up. ,1991-06-27,
World Economy Called Stagnant. ,1991-07-01,
Oil Well Fires. ,1991-08-02,
Oil Prices Soar Higher . ,1991-08-03,
Alaska Oil Pipeline Suffers From Lack Of Oversight,1991-08-05,
"Rain Falls And So Do Corn, Soybean Prices. ",1991-08-06,
Oil Prices Quietly Advance. ,1991-08-07,
Booming Gas Futures Lift Oil Market. ,1991-08-08,
Expert Points To Oil-Theft Problems. ,1991-08-09,
Making Palm Oil A Winner New Straits Limes. ,1991-08-10,
Unleaded Gasoline Rises. ,1991-08-13,
Natural Gas Set To Change Local. Energy Scene. ,1991-08-16,
Cracked Pipeline Pours Crude Oil Into Haifa Bay. ,1991-08-16,
Kuwait Oil Fires Cut Output Drastically. ,1991-08-16,
Settlement Is Signed In Oil-Price Lawsuit. ,1991-08-18,
Unrest Will Hit Oil Prices Oil Price Change. ,1991-08-21,
"Dollar Dips, Shares Surge In Europe. ",1991-08-22,
Rebels Bomb Colombia's Main Oil Pipeline. ,1991-08-23,
Oil Prices Show Pain ,1991-08-24,
State Agency To Study Puget Sound Oil Pipeline. ,1991-08-26,
Oil Prices Keep Going Up. ,1991-08-27,
State Agency To Conduct Study Of Puget Sound Oil Pipeline. ,1991-08-27,
"Grain, Soybean Prices Slip. ",1991-08-28,
Oil Futures Head Lower. ,1991-08-29,
Oil Rallies Over Turmoil. ,1991-08-30,
Oil Spill .Exxon Settlement To Cost $1 Billion,1991-10-01,
Oil Futures Climb Again ,1991-10-02,
Oil Futures Head Higher. ,1991-10-03,
Stocks Post Slight Commodities. Over Economic Outlook,1991-10-03,
Exxon New Valdez Settlement Not Harsh Enough. ,1991-10-04,
"Gold, Grain, Beans All Showing Gains. ",1991-10-05,
Oil Hits Eight-Month High. ,1991-10-08,
Oil Hits Post-War High. ,1991-10-08,
Oil Prices Head Higher . ,1991-10-12,
Crude Oil Prices Spurt. ,1991-10-15,
Oil Prices Surge Ahead. ,1991-10-15,
Oil Prices Keep Rising. ,1991-10-16,
Oil Prices Are Soaring. ,1991-10-19,
N. Korean Oil Refinery Shut. ,1991-10-19,
Wheat Surges On News Of Offer To Soviets. ,1991-10-20,
Iraq Refusing To Accept Plan To Sell Oil For Food. ,1991-10-21,
