,title,date
8961,At 5Year Low Motorists Ring In 1994 With Cheaper Crude Oil,1994.1.1
8963,Numbers Tell Of Losses Gains In 93 Commerce Saudi Arabia Cuts 1994 Budget By 20pc Ruptured Oil Pipe Excavated Today ,1994.1.2
8966,Cutbacks Oil Spills Plague Local Oil Industry ,1994.1.3
8967,Oj Prices Fall As Frost Fears Subside ,1994.1.5
8970,Cold Weather Pushes Crude Oil To 5Week Sinking Oil Boom Puts Alaska In Budget Hole Harbor Swept For Oil As Precaution ,1994.1.6
8974,Free Ride From Oil Appears To Be Nearing End ,1994.1.7
8977,Crews Clean Up After Major Oil Spill Assess Impact Puerto Rico Crews Work To Assess Damage From Oil Spill ,1994.1.8
8980,Oil Revenues Take A Dive Squeeze Alaskas Budget Betting On Bugs To Remove Sulphur From Crude Oil Environment,1994.1.9
8983,Oil Spill Legislation Put To Test ,1994.1.10
8985,Soybean Prices Fall On Improved Brazil Weather Crude Oil Price Drop Not Evident In Price Of Gas Oil Glut Keeping Gas Prices Down ,1994.1.11
8988,Inflation Remains In Check For Third Straight Year ,1994.1.12
8990,Puerto Rico Rough Sea Slows Oil Spill Cleanup Windy Weather Frustrating Recovery Of Puerto Rican Crude Oil Commodity Roundup Lormer Owosso My David All Ap Writer ,1994.1.13
8994,Corn Futures Rise To A 512Year High On Report Governor Taps Crude Oil Panel ,1994.1.14
8997,As East Coast Temperatures Drop Heating Oil Futures Soar Heating Oil Futures Soar ,1994.1.15
9003,Opec Countries Are Hard Hit By Revenue Decline Prices Sink 93 Opec Revenues By Sally Jacobsen Oil Price Crash Has Opec Nations Tightening Belts Big Oils Outrageous Profits ,1994.1.17
9007,Juice Futures Fall As Frost Threat Eases Quake Cold Sparking Heating Oil Speculation ,1994.1.18
9009,Us Imports Record Amount Of Oil Hog Heating Oil Futures Plunge With Warm Weather News Hog Heating Oil Futures Plunge With Warm Weather News ,1994.1.19
9016,Big Oil Just Cant Seem To Get A Break Its Not Easy Being Oil Price Hike Opposed Lumber Futures Rebound Grain Prices Retreat The Victoria It Report Oil Imports Near Ox 50 Percent In ,1994.1.20
9017,Quake Ups Kern River Crude Oil Price Spilling Over With Gratitude ,1994.1.21
9019,Chevron Makes Crude Oil Request ,1994.1.22
9020,THE EARTHQUAKE Quake Rips Oil Pipeline and Causes a Spill Published 1994,1994.1.23
9021,Herrera Seeks Audit Of Oil Price Fund ,1994.1.24
9022,Big Oil Cant Get A Break ,1994.1.25
9024,Crude Oil Spilled Off Brazilian Coast ,1994.1.26
9031,Crude Oil Spilled Off Brazilian Coast Loading Tanker Spills Crude Oil All Kinds Of Petrol Should Be Cheaper Fuel Futures Surge On Strong Demand ,1994.1.27
9034,Dont Panic Over Oil Price Hike Ramos Forecasts Growing Dependence On Foreign Oil Oil Spill Report Full Of Holes ,1994.1.28
9039,Congress Leaders Denounce Untimely Adjustments ,1994.1.29
9042,Custodian Of Nations Petroleum Resources Cheaper Jet Fuel Helping Airlines Prices Save Airlines 100 Crude But Effective Dropping Price Of Petroleum Helped Keep Asked To Stop Gas Price ,1994.1.30
9047,Cheaper Crude Oil Could Be A Gift To Motorists And The Us ,1994.1.31
9048,The Indian Express ,1994.2.2
9049,Heating Oil At 3Month High Gold Silver Rise ,1994.2.3
9051,Oil Distributors Voluntarily Erecting Tank Warning Signs ,1994.2.5
9052,Mcgrath Lake Cleanup Completed ,1994.2.6
9053,Kuwaits Oil Loss Larger Than Thought ,1994.2.7
9055,Precious Metals Crude Oil Down Other Markets Mixed ,1994.2.8
9056,Precious Metals Oil ,1994.2.9
9057,Precious Metals And Energy Futures Higher ,1994.2.10
9058,Epa Emergency Funds Are Sought For Oil Spill In Creek ,1994.2.12
9060,Reports show rise in UKs North Sea oil production in 1993 Platinum Futures Advance On Trade ,1994.2.16
9061,Petronas Refinery Receives First Shipment Of Crude Oil ,1994.2.17
9064,Ight Sweet Crude Oil For Mart Out Metals In Fell Ronls Professor Hopes To Get Nylon From Soybeans ,1994.2.18
9065,Oil Prices Bounce Back From FiveYear Lows ,1994.2.19
9067,Your Money Professor Tries To Make Nylon From Soybeans Producers Want Bottom Limit On Price Of Crude ,1994.2.20
9071,Crude Oil Futures Post Strong Gain ,1994.2.25
9073,Lumber Futures Crumble As Storm Kills Demand ,1994.2.28
9075,Stocks End Mostly Higher Crude Oil ,1994.3.1
9077,Khabbaz oilfield in northern Iraq inaugurated,1994.3.2
9079,Talks Inconclusive Oil Prices Drop ,1994.3.7
9080,Crude Oil Futures ,1994.3.8
9084,Slack Supply Lifts Oil Futures Prices Trying to Rescue a Soured Oil Bet Com Futures Hit A FourMonth Low ,1994.3.9
9087,Gold Prices Soar On South Africa Unrest ,1994.3.11
9089,Producers Agree To Build 130Mile Crude Oil Pipeline Temporary Oil Import Ban Shakes Confidence Overseas ,1994.3.12
9096,Collision Spills Oil Kills 1 2 Near Black Sea Oil Tanker Freighter Collide In Bosphorus Strait Entrance ,1994.3.14
9101,Stocks Barely Budge As The Market Awaits Inflation News ,1994.3.15
9104,It Appears To Me That Available Supplies Are Going To Energy Industry Facing New Round Of Job Reductions ,1994.3.16
9105,I Crude Prices Rally ,1994.3.17
9107,Lumber Prices Tumble On Weak Building Market Us Ponders Change Of Oil Reserve Stocks Bosporus Strait Opens To Traffic ,1994.3.18
9111,Reformulated Gas Clean Fuel Of The Future Already Sounds ,1994.3.19
9113,Five Years After Valdez Oil Spill Lawsuits Readied Battle Five Years Have Passed Since The Exxon Vaidez Rammed Lut On The Seas With On A Skyscraper Full Of Oil ,1994.3.20
9116,Value Of Us Oil Reserves Being Questioned ,1994.3.21
9118,State Searches For Answers In Latest Oil Spill Pollution Of Water Tied to Oil In Ecuador Published 1994 Prices On Oil Called Value ,1994.3.22
9123,Opec Caught In Dilemma Low Prices High Output Opec Ministers To Meet On Friday Some Speculate Group To Oil Prices Falling Bottom In Sight ,1994.3.23
9127,Cartel Chief Calls For Cuts In NonOpec Production Houston Rotarians Told About Energy Price Structure By Unc Bedrosian Group Points To Possibility Of Big Chesapeake Oil Spill ,1994.3.24
