title,date
How the Gores father and son helped their patron Occidental Petroleum,2000-01-10
Gulf War Oil Prices Are Back ,2000-01-19
Oil At Highest Price Since Gulf War Fuel Cost ,2000-01-20
Us Economy Weathering Steep Oil Price Rise ,2000-01-21
HighTech Boom Lessens Effects Of Oil Prices Oil Closes In ,2000-01-22
Motorists Paying More For Fuel ,2000-01-22
Bright Outlook For Mastek Company Set To Start Crude Oil ,2000-01-24
Editorialletters ,2000-01-26
Oil Firms To Raise Prices Next Month By Christine A ,2000-01-27
Refinery Has Potential Buyers With Plant Nearing Closing Day,2000-01-31
Local On Dealers Say Prices On Downswing In Contrast Us ,2000-01-31
Crude Oil Drops ,2000-02-01
Spot Heating Oil Prices In The Northeast Soared Last Week To ,2000-02-01
Amoco Arco Merger ,2000-02-03
Ftc To Block Oil Merger The Commission Voted Pro With Hip ,2000-02-03
To Block Big Oil Merger Artist ,2000-02-03
Increased Crude Oil Production Raises Countrys Export Revenue,2000-02-07
Gasoline Prices Expected To Escalate This Summer ,2000-02-15
Price Of Oil Jumps To More Than 30 A Barrel ,2000-02-15
Crude Oil Prices Soar ,2000-02-15
Concerns Gas Likely How Opec Drove Up World Oil Prices To ,2000-02-16
Pumping Pain Gas Prices Likely To Stay ,2000-02-16
Gas Prices Likelv To To Stav Steep Into Summer Month ,2000-02-16
From Rage In At Worm Rep Baldacci Urges Release Of Us ,2000-02-16
Us Crude Oil March Futures Still Volatile ,2000-02-17
Cape oil remains high despite dip,2000-02-17
Victoria Advocate Friday February Is 2000 Latin American ,2000-02-18
A Remedy For Costly Crude Oil ,2000-02-21
Experts State Could See Per Gallon By April ,2000-02-21
Truckers protest soaring fuel costs,2000-02-23
Gas Prices Low Supply Will Keep Cost High Experts Say ,2000-02-24
High Gasoline Prices Taking Motorists For Ride ,2000-02-24
Concerns Loom Over Rising Gasoline Prices Supplies ,2000-02-25
Rising Gas Prices Cause For Concern ,2000-02-25
Gas Price Increase Forecast For Spring ,2000-02-25
Tiaoquis Side On Proposed Oil Exchange ,2000-02-28
Crude Climbs On Continuing Opec Uncertainty ,2000-03-01
Oil Ministers Agree To Boost Production ,2000-03-01
Gas Prices Wont Fall Soon,2000-03-02
Oil Ministers Agree To Boost Oil Production ,2000-03-02
Saudis Venezuela Mexico To Boost Oil Output ,2000-03-02
Clinton Mulls Northeastern Oil Reserve ,2000-03-03
Little Decline In Oil Prices Foreseen,2000-03-03
Spike In Crude Prices Helps Oil Stocks But Could Rattle ,2000-03-04
Oil Shortage Having Effect Throughout Economy ,2000-03-04
Crude Prices Spike Helps Could Hinder ,2000-03-05
Gas Prices Will Soar Higher This Summer ,2000-03-07
Strong Pressure Oil Price Increase Imminent By Christine ,2000-03-09
New Oil Price Hikes Unstoppable,2000-03-10
Maine Senators Reiterate Calls For Lower Oil Prices ,2000-03-10
What Happened To Walang Kaibigan Promise ,2000-03-14
Tanker firm fined for oil spill,2000-03-16
Defazio Faults Alaska Oil Exports ,2000-03-22
Nigeria Authorizes Police Unit To Shoot Pipeline Vandals ,2000-03-23
West Bank Deal Sets Stage For Oil Relief ,2000-03-24
Iran Balks At Plans To Produce More Oil Opec Trying Again ,2000-03-28
Opec Fails To Reach Agreement On Output Continued From Id,2000-03-28
International Pump Prices Could Remain At Current Levels For ,2000-03-29
Reports Of Opec Agreement Push Crude Oil Prices Lower ,2000-03-29
Opec Ministers Suspend Talks Amid Division ,2000-03-29
Iran Approves New OilProduction Goal Opec Agreement ,2000-03-30
Oil Falls As Opec Agrees To Boost Production ,2000-03-31
Suppliers Rollback In Fuel Prices Seen Urged To Move To,2000-04-06
Officials Foresee Lower Summer Gas Prices ,2000-04-07
Gas Prices May Fall Sooner Than Expected Oil Futures Prices ,2000-04-11
Oil Firms Rule Out Price Cut ,2000-04-14
Underscores Tom Oil Analyst Merchant Air That Opec Crude ,2000-04-15
High Oil Prices Make Quarter A Gusher For Oil Companies ,2000-04-17
Oil Imports Cause Jump In Deficit The Disparity Balloons To ,2000-04-20
Foreign Oil Bill Pushes Trade Deficit To Billion In February ,2000-04-20
Survey Shows 58 Percent Of People Want Oil Exchange ,2000-04-27
Unocal Records Two New Deepwater Discoveries in Indonesia,2000-05-08
Amoco Oil Field Project South China Sea,2000-05-15
Enterprise Oil Pierce Project North Sea Central,2000-05-16
Triton Oil Field North Sea Central,2000-05-16
Cantarell Oilfield Gulf of Mexico,2000-05-16
Marlim Sul Oil and Gas Field Project,2000-05-17
Exxon oil and gas field projects,2000-05-18
False Arguments Against The Oilex ,2000-05-23
Vajpayee Lays Foundation Of Iocs Paradip Refinery,2000-05-25
Oil Soars As Gasoline Fears ,2000-05-26
Green Gas At Pumps Means Fewer Greenbacks In Pocket ,2000-05-28
Oil Price Increases Worse Than Terrorism Says Solon ,2000-06-01
Commodities Crude Oil Up Over 30 A Barrel As Natural Gas ,2000-06-02
OFFICIAL START OF COKER PROJECT IS FRIDAY,2000-06-02
Opec May Lower Prices Saudi Oil Minister Says High Demand ,2000-06-05
Rising Crude Cost ThreeMonth Oil Import Bill Surges By 1 ,2000-06-07
Palace Glad Oil Price Hike Only 40 Centavos ,2000-06-09
 Oil tops 30 a barrel again,2000-06-13
