year,month,missing_days
1989,9,15
1995,4,15
1995,6,15
1995,11,15
1990,6,15
1990,1,15
1992,10,15
1990,4,15
1994,5,15
1992,3,15
1988,10,16
1988,4,16
1995,8,16
1997,9,16
1996,3,16
1992,4,16
1995,7,17
1996,2,17
1988,1,17
1998,9,17
1996,11,17
1997,4,17
1993,5,17
2001,7,17
1998,2,17
2001,10,17
2001,9,17
1991,2,17
2000,10,17
2000,11,17
1992,2,17
2000,2,17
1998,8,17
1988,6,18
2000,7,18
1995,2,18
1996,6,18
1998,10,18
1991,6,18
1998,1,18
1992,6,18
1999,11,18
1992,11,18
2001,11,18
1987,2,18
2001,6,18
1991,5,18
2000,12,19
1990,3,19
1989,8,19
1996,12,19
1997,2,19
1997,11,19
1997,8,19
1992,5,19
1993,4,19
1995,5,19
1995,3,19
1993,11,19
1988,5,19
1992,12,19
2000,8,19
1999,10,20
1993,1,20
1995,12,20
1999,2,20
1999,1,20
1988,8,20
1994,10,21
1989,1,21
1997,7,21
1999,7,21
1999,9,21
2000,1,22
1999,6,22
1999,8,22
1998,7,22
2000,4,22
2000,5,22
2001,3,22
2001,5,22
2001,8,22
1999,5,22
1998,6,22
2001,12,22
1994,11,22
1990,5,22
1993,6,22
1997,5,23
1996,9,23
1990,7,23
1995,9,23
2001,4,24
1996,8,24
2001,2,24
1993,9,24
1993,2,24
1993,7,24
1989,6,25
1986,11,25
1995,10,25
1989,2,25
1992,9,26
1993,10,26
1999,12,26
1996,7,26
1989,5,26
1998,5,26
1991,3,26
1989,12,27
1989,11,27
1993,8,27
1991,10,27
1994,12,27
1992,8,27
1989,10,27
1991,8,27
1991,9,28
1990,10,28
1998,4,29
1991,7,29
1991,11,29
1990,11,29
1990,12,30
1993,3,30
1992,7,31
1991,12,31
