title,date
Oil Prices Climb As Traders Bet On Opec Cutback. ,1986-11-01
World's Oil Prices Smooth Out. ,1986-11-01
The Tuscaloosa News ,1986-11-02
Saudi Change Brings A Surge In Oil Prices. By Kenneth. N. ... ,1986-11-02
"Saudi King Wants Sus20 Oil Price, Says Libya. ",1986-11-03
Gettysburg Times ,1986-11-06
Pittsburgh Post-Gazette ,1986-11-06
Edmonton Journal ,1986-11-06
Shell Oil At The Center Of Apartheid Sanctions Busting Row. ,1986-11-06
Metals Futures Take Unorthodox Drop. ,1986-11-06
Imperial Lone Holdout In Gasoline-Price Rise. ,1986-11-06
Shell Disappoints In The Third Quarter. ,1986-11-07
Shell Disappoints In The Third Quarter. ,1986-11-07
State To Review Oil Brine Rules Regarding Pollution ... ,1986-11-07
Ottawa Citizen ,1986-11-07
World's 2nd Largest Firm Disappointed With Profit. ,1986-11-07
Exemptions Sought For Pollution Cap In Oil-Brine Issue. ,1986-11-07
Growth In Oil Demand May Slow. ,1986-11-08
Fewer Jobs Open For Professionals. ,1986-11-08
Petroleum Products Demand To Slow. ,1986-11-09
National Briefs. Minimum Us. Oil Price Called For ,1986-11-10
Upgrader Site Waiting For Giant Hydroprocessor ,1986-11-10
Backing For Pump Project If. Jr ,1986-11-10
For Pump Project. ,1986-11-10
Opec To Discuss Price Hike. ,1986-11-11
Exec Wants Minimum Oil Price. Api Head Thinks Plan Is Only ,1986-11-12
Oil Executive Pleads For Minimum Floor'. ,1986-11-12
Minimum Floor Price Asked For Domestic Oil. ,1986-11-12
Opec Output Needs Estimated. ,1986-11-12
What Direction Opec After Yamani. ,1986-11-12
Exec Wants Minimum Oil Price. Api Head Thinks Plan Is Only ,1986-11-12
Oil Executive Pleads For Minimum Floor'. ,1986-11-12
Japan Oil Refiners May Trade In Us. ,1986-11-13
Gas Prices May Have Bottomed Out. ,1986-11-14
"Mexico, Us. Sign Oil Deal Fhat Might Total $R. ",1986-11-14
Precious Metals Futures Orices Plunge. ,1986-11-15
Jova Com. Looks For Partners. ,1986-11-15
Reagan On Import Fee Fence Deal On Suffield. ,1986-11-15
Opec Eyes Crude Barrel Price Of $18. ,1986-11-15
What Direction Opec After Yamani? ,1986-11-16
Saudi Move Leaves Opec Dilemma Unsolved. ,1986-11-16
Opec Panel Seeks $18 Oil; Leaves Production Issue Open. ,1986-11-16
Opec Panel Adopts Price For Crude Oil. ,1986-11-16
Yamani's Firing Signals New Saudi Tactics. ,1986-11-16
Williamson Daily News ,1986-11-17
Rising Crude Oil Costs Cited As Gas Prices Rise Two Cents. ,1986-11-17
Pumping Up The Price. ,1986-11-17
Pumping Up The Price. ,1986-11-17
More Job Losses Likely In Energy Sector: Study. ,1986-11-19
Jo Years. Fishing-Is &Ood For The Soulf... In Washington The ,1986-11-19
Oil Output Plummets. ,1986-11-20
Crude Oil Production Falls. ,1986-11-20
The Phoenix ,1986-11-20
The Argus-Press ,1986-11-22
Precious Metals Go. Go Into Into Steep Decline H. ,1986-11-22
But Opposition Forming. Drillers Eye Alaskan Wilderness. ,1986-11-24
"More Oil, Gas In Alaskan Refuge. ",1986-11-24
Arctic Oil Field Drilling Proposed. ,1986-11-24
Plans Revealed For Oil Development. ,1986-11-24
Sought For Oil. ,1986-11-24
Staying Warm Will Cost Less This Winter. ,1986-11-24
The Phoenix ,1986-11-24
Arctic Area Sought For Oil And Gas. ,1986-11-24
Gettysburg Times ,1986-11-24
Baghdad Attack Kills 48. ,1986-11-25
Energy Futures Prices Take A Beating. ,1986-11-25
Oil Prices Fall After Saudi Statement. ,1986-11-25
The Albany Herald ,1986-11-25
Neport Advises Governmen To Tap Wildlife Region's Oil. ,1986-11-25
