index,title,date
75,Oil Prices Climb As Traders Bet On Opec Cutback. ,1986-11-01
28,World's Oil Prices Smooth Out. ,1986-11-01
15,The Tuscaloosa News ,1986-11-02
35,Saudi Change Brings A Surge In Oil Prices. By Kenneth. N. ... ,1986-11-02
65,"Saudi King Wants Sus20 Oil Price, Says Libya. ",1986-11-03
53,Gettysburg Times ,1986-11-06
54,Pittsburgh Post-Gazette ,1986-11-06
85,Edmonton Journal ,1986-11-06
46,Shell Oil At The Center Of Apartheid Sanctions Busting Row. ,1986-11-06
55,Metals Futures Take Unorthodox Drop. ,1986-11-06
40,Imperial Lone Holdout In Gasoline-Price Rise. ,1986-11-06
32,Shell Disappoints In The Third Quarter. ,1986-11-07
31,Shell Disappoints In The Third Quarter. ,1986-11-07
99,State To Review Oil Brine Rules Regarding Pollution ... ,1986-11-07
84,Ottawa Citizen ,1986-11-07
12,World's 2nd Largest Firm Disappointed With Profit. ,1986-11-07
101,Exemptions Sought For Pollution Cap In Oil-Brine Issue. ,1986-11-07
95,Growth In Oil Demand May Slow. ,1986-11-08
88,Fewer Jobs Open For Professionals. ,1986-11-08
86,Petroleum Products Demand To Slow. ,1986-11-09
76,National Briefs. Minimum Us. Oil Price Called For ,1986-11-10
30,Upgrader Site Waiting For Giant Hydroprocessor ,1986-11-10
79,Backing For Pump Project If. Jr ,1986-11-10
98,For Pump Project. ,1986-11-10
81,Opec To Discuss Price Hike. ,1986-11-11
25,Exec Wants Minimum Oil Price. Api Head Thinks Plan Is Only ,1986-11-12
57,Oil Executive Pleads For Minimum Floor'. ,1986-11-12
26,Minimum Floor Price Asked For Domestic Oil. ,1986-11-12
19,Opec Output Needs Estimated. ,1986-11-12
50,What Direction Opec After Yamani. ,1986-11-12
24,Exec Wants Minimum Oil Price. Api Head Thinks Plan Is Only ,1986-11-12
58,Oil Executive Pleads For Minimum Floor'. ,1986-11-12
17,Japan Oil Refiners May Trade In Us. ,1986-11-13
21,Gas Prices May Have Bottomed Out. ,1986-11-14
10,"Mexico, Us. Sign Oil Deal Fhat Might Total $R. ",1986-11-14
73,Precious Metals Futures Orices Plunge. ,1986-11-15
89,Jova Com. Looks For Partners. ,1986-11-15
69,Reagan On Import Fee Fence Deal On Suffield. ,1986-11-15
29,Opec Eyes Crude Barrel Price Of $18. ,1986-11-15
49,What Direction Opec After Yamani? ,1986-11-16
48,Saudi Move Leaves Opec Dilemma Unsolved. ,1986-11-16
20,Opec Panel Seeks $18 Oil; Leaves Production Issue Open. ,1986-11-16
78,Opec Panel Adopts Price For Crude Oil. ,1986-11-16
51,Yamani's Firing Signals New Saudi Tactics. ,1986-11-16
62,Williamson Daily News ,1986-11-17
16,Rising Crude Oil Costs Cited As Gas Prices Rise Two Cents. ,1986-11-17
103,Pumping Up The Price. ,1986-11-17
104,Pumping Up The Price. ,1986-11-17
90,More Job Losses Likely In Energy Sector: Study. ,1986-11-19
6,Jo Years. Fishing-Is &Ood For The Soulf... In Washington The ,1986-11-19
11,Oil Output Plummets. ,1986-11-20
77,Crude Oil Production Falls. ,1986-11-20
82,The Phoenix ,1986-11-20
14,The Argus-Press ,1986-11-22
