title,date
"Oil Prices Up, But Don't Blame War. ",1991-03-01
War Unlikely To Jolt Us. Into Changing Energy Policies. ,1991-03-01
Oil ,1991-03-01
Oil Prices Back Above $19. ,1991-03-01
Cleanup Of Iraq Ecological Vandalism Is Daunting. ,1991-03-02
Crude Costs. ,1991-03-02
Cash Grain ,1991-03-02
The Indian Express ,1991-03-02
Oil Climbs As Opec Talks Approach. ,1991-03-02
Editorials Safer Tankers. ,1991-03-03
War In The Gulf. A Chronology. ,1991-03-03
Us Economy Needs Repair With War's End. ,1991-03-03
"Questions, I I Lie. My Answers: How War's End Will Affect ... ",1991-03-03
Fouled Gulf Is Ecological Nightmare. ,1991-03-03
Us Now Must Turn Its Attention To The Economy. ,1991-03-03
Per Liter. The Refinery Processes The Crude Oil And By ... ,1991-03-03
"Crews Try To Contain 630,000-Gallon Oil Spill. ",1991-03-03
Gas Prices May Increase. ,1991-03-04
Oil From Pipeline Hits River; Cause Pro. ,1991-03-04
"630,000 Gallons Of Crude Spill In Minnesota. ",1991-03-04
"630,000 Gallons Of Oil Spilled. ",1991-03-04
Crude Spilled In Minnesota. ,1991-03-04
Oil Spilled In Minnestota. ,1991-03-04
Eugene Register-Guard ,1991-03-05
Gulf War Reconstruction To Benefit Rp's Economy. ,1991-03-05
Oil Spill Collected. ,1991-03-05
"Nearly 630,000 Gallons. Of Oil. Into It. Rivpr ",1991-03-05
Double Hulls Aren't The Answer. ,1991-03-05
The Daily Gazette ,1991-03-05
Crude Leaks From Pipeline. ,1991-03-05
"Oil Prices Dip, Futures Rise. ",1991-03-07
Crude Oil Prices Fall A Bit. ,1991-03-07
New Straits Times ,1991-03-08
New Straits Times ,1991-03-09
Gadsden Times ,1991-03-09
Opec Officials To Set Postwar Oil Policy. ,1991-03-10
Oil Capacity Believed Cut By 3rd In Iraq. ,1991-03-10
New Straits Times ,1991-03-11
Gop Likely To Reject Panel's Tax Bills. ,1991-03-11
Gop Likely To Reject Panel's Tax Bills. ,1991-03-11
Oil Editorial... Misleading Oil Editorial. ,1991-03-11
Opec Cuts Lift Oil Prices. ,1991-03-14
Petronas Satisfied With Price Of Crude. ,1991-03-14
Thornburg Seeks Laws To Battle Petroleum Price Gouging. ,1991-03-14
Arabs Dispute Us. Influence Over Opec. ,1991-03-14
Preate Criticizes Us. Agency For Failing To Control Oil ... ,1991-03-14
Research Questions Weight Gain Issue. ,1991-03-15
Oil Prices Show Retreat. ,1991-03-16
Futures ,1991-03-17
"Kit Victoria Advocate. Sunday, March. Hi Wartime Trading Of ",1991-03-17
California Refinery Source Of Spill. ,1991-03-18
Tanker Anchor Causes Oil Spill. ,1991-03-18
No Encore For Big Oil's Big Fourth Qua. ,1991-03-20
"Oil Industry's Windfall Profits Fading Fast. Co Inc, A ... ",1991-03-20
Oil Allowable Still 100%. ,1991-03-21
Commodities ,1991-03-21
