id,title,url,published_date,
13,Supertankers Face Extinction - The Washington Post,https://www.washingtonpost.com/archive/business/1986/01/05/supertankers-face-extinction/dac5426c-c5f6-45f0-9c80-9ad772a31dd6/,1986-01-05,
23,U.S. oil demand falls in 1985,https://www.upi.com/Archives/1986/01/15/US-oil-demand-falls-in-1985/1977506149200/,1986-01-15,
14,ADOBE'S SEER: B. J. PEVEHOUSE; DIGGING IN AS OIL PRICES SLIDE (Published 1986),https://www.nytimes.com/1986/01/26/business/adobe-s-seer-b-j-pevehouse-digging-in-as-oil-prices-slide.html,1986-01-26,
8,MERC LEAVES POTATOES BEHIND,https://www.nytimes.com/1986/02/10/business/merc-leaves-potatoes-behind.html,1986-02-10,
2,PRICE OF HOME HEATING OIL AT 7-YEAR LOW IN NEW YORK (Published 1986),https://www.nytimes.com/1986/02/13/nyregion/price-of-home-heating-oil-at-7-year-low-in-new-york.html,1986-02-13,
3,Phillips' Letters Pump White Oil Controversy,https://www.oklahoman.com/story/news/1986/02/23/phillips-letters-pump-white-oil-controversy/62735006007/,1986-02-23,
15,WHAT IS OIL? A DISPUTE AND A TEXAS HARDSHIP (Published 1986),https://www.nytimes.com/1986/03/17/us/what-is-oil-a-dispute-and-a-texas-hardship.html,1986-03-17,
5,Cleanup continues at oil spill site,https://www.upi.com/Archives/1986/03/22/Cleanup-continues-at-oil-spill-site/5530511851600/,1986-03-22,
12,"FOR NORTHVILLE, SHIFTING FORTUNES",https://www.nytimes.com/1986/03/30/nyregion/for-northville-shifting-fortunes.html,1986-03-30,
1,"Oil Falls Below $10 a Barrel, Rebounds on Bush Remarks",https://www.washingtonpost.com/archive/politics/1986/04/02/oil-falls-below-10-a-barrel-rebounds-on-bush-remarks/935dadec-8eed-4e99-87d9-c639e000951f/,1986-04-02,
19,STUBBORN STRATEGIST: SHEIK AHMED ZAKI YAMANI; SQUEEZING OPEC - AND THE U.S. (Published 1986),https://www.nytimes.com/1986/04/13/business/stubborn-strategist-sheik-ahmed-zaki-yamani-squeezing-opec-and-the-us.html,1986-04-13,
20,"IN TROUBLED OIL BUSINESS, IT MATTERS LITTLE IF YOUR NAME IS BUSH, SONS FIND (Published 1986)",https://www.nytimes.com/1986/04/30/us/in-troubled-oil-business-it-matters-little-if-your-name-is-bush-sons-find.html,1986-04-30,
25,Article clipped from The Age,https://www.newspapers.com/article/52881815/the-age/,1986-05-02,
9,Fossil Oil and Gas Acquired by Holding Company,https://www.oklahoman.com/story/news/1986/05/17/fossil-oil-and-gas-acquired-by-holding-company/62726280007/,1986-05-17,
10,Crystal Oil Co. was removed from the American Stock...,https://www.upi.com/Archives/1986/05/20/Crystal-Oil-Co-was-removed-from-the-American-Stock/9199516945600/,1986-05-20,
24,Southland Corp.'s decision to sell 50 percent of Citgo...,https://www.upi.com/Archives/1986/05/28/Southland-Corps-decision-to-sell-50-percent-of-Citgo/4707517636800/,1986-05-28,
16,Petro-Lewis Accepts to an Offer of $750 Million (Published 1986),https://www.nytimes.com/1986/07/25/business/petro-lewis-accepts-to-an-offer-of-750-million.html,1986-07-25,
18,SCIENCE WATCH; THE OLDEST OIL EVER FOUND,https://www.nytimes.com/1986/09/02/science/science-watch-the-oldest-oil-ever-found.html,1986-09-02,
6,ONGC: The oil mirage,https://www.indiatoday.in/magazine/special-report/story/19860930-will-country-continue-to-maintain-high-degree-of-self-sufficiency-in-oil-801276-1986-09-30,1986-09-30,
7,$10 OIL COULD JEOPARDIZE COAL,https://www.joc.com/article/10-oil-could-jeopardize-coal_19861009.html,1986-10-08,
11,ENERGY BRIEFS,https://www.joc.com/article/energy-briefs_19861015.html,1986-10-14,
22,REFINING AN INDUSTRY BRIGHT SPOT - FOR NOW,https://www.joc.com/article/refining-industry-bright-spot-now_19861016.html,1986-10-15,
17,"WITH VISIONS OF OIL FORTUNES, 4000 HEIR-HOPEFULS CONVENE (Published 1986)",https://www.nytimes.com/1986/10/20/us/with-visions-of-oil-fortunes-4000-heir-hopefuls-convene.html,1986-10-20,
21,CRUDE PRICES DRIFT DOWN IN EUROPE,https://www.joc.com/article/crude-prices-drift-down-europe_19861027.html,1986-10-26,
4,"Despite Ban, South Africa Guzzles Oil - The Washington Post",https://www.washingtonpost.com/archive/politics/1986/11/29/despite-ban-south-africa-guzzles-oil/bf12bed6-479a-4a01-929c-b6bc508c7f4f/,1986-11-29,
28,Heating oil prices rise,https://www.upi.com/Archives/1987/01/16/Heating-oil-prices-rise/5623537771600/,1987-01-16,
27,REPORT WARNS OF OIL CRISIS IN 1990'S,https://www.nytimes.com/1987/02/23/business/report-warns-of-oil-crisis-in-1990-s.html,1987-02-23,
35,DEATH OF AN OILPOT,https://www.nytimes.com/1987/03/29/books/death-of-an-oilpot.html,1987-03-29,
31,"TEXACO, FIGHTING PENNZOIL ATTACK, ASKS BANKRUPTCY",https://www.nytimes.com/1987/04/13/business/texaco-fighting-pennzoil-attack-asks-bankruptcy.html,1987-04-13,
34,"Tired of 2nd Best, Mase Wins Mid-Am",https://www.oklahoman.com/story/news/1987/08/08/tired-of-2nd-best-mase-wins-mid-am/62681504007/,1987-08-08,
32,U.S. FIRMS HANG ON IN NICARAGUA - The Washington Post,https://www.washingtonpost.com/archive/business/1987/10/11/us-firms-hang-on-in-nicaragua/ed803579-45c6-4d95-8113-fcadd01a3948/,1987-10-11,
33,"Transworld Oil Ltd., one of the world's largest oil...",https://www.upi.com/Archives/1987/10/14/Transworld-Oil-Ltd-one-of-the-worlds-largest-oil/6563561182400/,1987-10-14,
29,IRAN HITS U.S.-OWNED TANKER - The Washington Post,https://www.washingtonpost.com/archive/politics/1987/10/16/iran-hits-us-owned-tanker/bf2e5e5c-21c4-4ae3-9da3-b68002bfc58e/,1987-10-16,
30,Kerr-McGee Notes Drilling Milestone,https://www.oklahoman.com/story/news/1987/11/03/kerr-mcgee-notes-drilling-milestone/62672676007/,1987-11-03,
26,Black Gold! Oil Shapes Character and History Of Our Fledgling State,https://www.oklahoman.com/story/news/1987/11/15/black-gold-oil-shapes-character-and-history-of-our-fledgling-state/62671228007/,1987-11-15,
43,AMOCO FINED $85.2 MILLION IN '78 OIL SPILL,https://www.washingtonpost.com/archive/business/1988/01/12/amoco-fined-852-million-in-78-oil-spill/eef425ec-a409-4db9-9690-7d1d1bae285d/,1988-01-12,
42,"National Post from Toronto, Ontario, Canada",https://www.newspapers.com/newspage/512296708/,1988-03-03,
46,"NEWS SUMMARY: WEDNESDAY, MARCH 9, 1988",https://www.nytimes.com/1988/03/09/nyregion/news-summary-wednesday-march-9-1988.html,1988-03-09,
37,TOLL INCREASES TO SIX AFTER REFINERY BLAST - The Washington Post,https://www.washingtonpost.com/archive/politics/1988/05/07/toll-increases-to-six-after-refinery-blast/0f3fbf23-0754-414c-a759-6e62dd50c737/,1988-05-06,
47,"1 DEAD, 6 MISSING AS BLAST AT SHELL OIL REFINERY ROCKS LOUISIANA TOWN",https://www.washingtonpost.com/archive/politics/1988/05/06/1-dead-6-missing-as-blast-at-shell-oil-refinery-rocks-louisiana-town/a8ddcf3a-047d-4bd9-b23c-90d88a85639d/,1988-05-06,
45,"A Spanish oil tanker, one of six tankers in...",https://www.upi.com/Archives/1988/05/17/A-Spanish-oil-tanker-one-of-six-tankers-in/1781579844800/,1988-05-17,
